epoch,metric,value
1780458056,disk_pct,6
1780458056,mem_pct,41
1780460389,disk_pct,6
1780460389,mem_pct,44
1780466722,disk_pct,6
1780466722,mem_pct,47
1780470927,disk_pct,6
1780470927,mem_pct,49
1780471345,disk_pct,6
1780471345,mem_pct,49
